1721594447|Gregorio|Márquez|1965-07-26
1721594448|Homero|Moreno|1988-12-21
1721594449|Ramón|Domínguez|1996-07-30
1721594450|Marcial|López|1998-12-08
1721594451|Jacob|López|1971-02-18
1721594452|Elías|Méndez|1977-08-11
1721594453|Tobías|Arias|1993-08-19
1721594454|Inocencio|Soler|1990-03-30
1721594455|Dorotea|Caballero|1979-03-01
1721594456|Vidal|Vicente|1988-10-08
1721594457|Faustino|Fernández|1996-07-30
1721594458|Simeón|Serrano|1972-04-13
1721594459|Lucrecia|Iglesias|1982-05-02
1721594460|Rosalia|Hidalgo|1967-12-19
1721594461|Marcelino|Peña|1984-11-28
1721594462|Diego|Vega|1987-02-11
1721594463|Bernabé|Benítez|1991-10-18
1721594464|Victorino|León|1974-03-09
1721594465|Fabiola|Serrano|1977-02-06
1721594466|Ceferino|Calvo|1963-02-14
1721594467|Luis|Gutiérrez|1988-12-22
1721594468|Jorge|Ruiz|1979-05-31
1721594469|Ramiro|Muñoz|1993-08-28
1721594470|Abel|Santana|1990-06-09
1721594471|Mario|López|1969-12-02
1721594472|Gisela|Soler|1977-04-16
1721594473|Dámaso|Marín|1972-12-13
1721594474|Lucía|Santiago|1974-02-27
1721594475|María|Román|1964-01-13
1721594476|Rosario|Jiménez|1981-10-10
1721594477|Germán|Pascual|1993-02-19
1721594478|Petronila|Peña|1963-01-15
1721594479|Cirino|Márquez|1981-01-23
1721594480|Félix|Santana|1977-08-19
1721594481|Nieves|Flores|1966-12-07
1721594482|Eva|Montero|1996-02-15
1721594483|Teodora|Domínguez|1980-05-29
1721594484|José|Ruiz|1962-04-03
1721594485|Teófanes|Castillo|1960-03-19
1721594486|Leocadia|Suárez|1982-05-12
1721594487|Colombo|Delgado|1998-06-21
1721594488|Lucrecia|Aguilar|1961-09-07
1721594489|Eliseo|Cambil|1974-05-04
1721594490|Bernardo|González|1999-01-20
1721594491|Mariano|Calvo|1985-04-24
1721594492|Colombo|Gutiérrez|1974-01-20
1721594493|Humberto|Muñoz|1974-10-25
1721594494|Humberto|Guerrero|1995-10-16
1721594495|Guadalupe|Parra|1960-05-31
1721594496|Alipio|Pastor|1974-09-09
1721594497|Leonardo|Molina|1981-02-17
1721594498|Honorato|Esteban|1999-11-22
1721594499|Sara|Vargas|1990-03-27
1721594500|Heraclio|Díaz|1983-10-29
1721594501|Antonio|Muñoz|1995-03-10
1721594502|Marciano|Vega|1978-11-22
1721594503|Eugenia|Hidalgo|1997-06-16
1721594504|Heliodoro|Guerrero|1975-05-18
1721594505|Calixto|Lorenzo|1975-09-09
1721594506|Nicanor|Ibáñez|1960-05-22
1721594507|Adalberto|Calvo|1960-11-03
1721594508|Ernesto|Muñoz|1993-12-26
1721594509|Toribio|Rubio|1995-03-14
1721594510|Gabriel|Martín|1999-04-13
1721594511|Aristides|Reyes|1988-09-19
1721594512|Salomé|Alonso|1962-06-16
1721594513|Guadalupe|Molina|1984-02-15
1721594514|Ruperto|Ortiz|1976-01-20
1721594515|Fabio|Soto|1972-01-05
1721594516|Evaristo|González|1986-04-21
1721594517|Eduvigis|Lozano|1994-07-31
1721594518|Adelaida|Caballero|1971-04-16
1721594519|Alfredo|Lozano|1991-06-24
1721594520|Venancio|Martínez|1966-12-07
1721594521|Celso|Iglesias|1976-08-18
1721594522|Oseas|Santiago|1993-12-24
1721594523|Reinaldo|Carmona|1984-07-30
1721594524|Fabio|Muñoz|1978-12-20
1721594525|Dimas|Blesa|1980-01-06
1721594526|Bartolomé|Marín|1996-10-17
1721594527|Roque|Pascual|1971-02-14
1721594528|Isabel|García|1999-04-18
1721594529|Santiago|Velasco|1983-04-03
1721594530|Sixto|Molina|1999-12-31
1721594531|Orestes|Blesa|1965-03-21
1721594532|Matilde|Rey|1993-02-19
1721594533|Jacinto|Molina|1978-01-16
1721594534|Guido|Iglesias|1997-05-23
1721594535|Hildegarda|Ramos|1991-03-18
1721594536|Petronila|Martín|1964-05-02
1721594537|Marcelo|Sanz|1976-12-21
1721594538|Teófanes|Ruiz|1992-05-20
1721594539|Margarita|Rey|1976-05-09
1721594540|Irene|Romero|1966-02-05
1721594541|Simeón|Durán|1983-10-29
1721594542|Roberto|Rodríguez|1992-04-24
1721594543|Juvenal|Méndez|1999-08-01
1721594544|María|Montero|1998-09-19
1721594545|Ceferino|Núñez|1973-05-06
1721594546|Hildegarda|Velasco|1993-03-08
1721594547|Alejandro|Calvo|1987-01-25
1721594548|Julián|Morales|1976-06-25
1721594549|Inocencio|Díez|1999-10-30
1721594550|Fabiola|Esteban|1993-10-15
1721594551|Mateo|Pérez|1994-07-15
1721594552|Aurelia|Ibáñez|1961-07-04
1721594553|Nazario|Ruiz|1976-11-05
1721594554|Victorio|Núñez|1961-06-30
1721594555|Jacob|Ramírez|1991-10-27
1721594556|Teófila|Sánchez|1965-09-29
1721594557|Erico|Cambil|1994-11-18
1721594558|Leandro|Moya|1979-05-28
1721594559|Santiago|García|1994-02-22
1721594560|Elías|Carrasco|1993-09-09
1721594561|Lino|González|1990-11-10
1721594562|Josué|Rubio|1981-09-12
1721594563|Nemesio|Cabrera|1962-12-24
1721594564|Sansón|Nieto|1990-04-07
1721594565|Clotilde|Sánchez|1985-01-17
1721594566|Ramón|Arias|1973-07-24
1721594567|Eusebio|González|1961-03-11
1721594568|Salomé|Álvarez|1978-07-07
1721594569|Faustino|Ortega|1975-07-28
1721594570|Ambrosio|Vicente|1977-12-12
1721594571|Amadeo|Carmona|1992-06-01
1721594572|Edgar|Carmona|1989-03-31
1721594573|Lorenzo|Giménez|1996-07-09
1721594574|Antero|Torres|1989-08-21
1721594575|Gabriel|Santos|1979-03-13
1721594576|Oto|Carmona|1969-11-14
1721594577|Alipio|Martínez|1996-03-02
1721594578|Atanasio|Marín|1971-12-28
1721594579|Guzmán|Cruz|1978-07-28
1721594580|Amaro|Gutiérrez|1986-05-31
1721594581|Fermín|Márquez|1981-04-12
1721594582|Homero|Carrasco|1994-02-19
1721594583|Benjamín|Ramírez|1979-10-31
1721594584|Porfirio|Morales|1970-03-19
1721594585|Aurelia|Pascual|1962-06-29
1721594586|Columbano|Benítez|1986-05-29
1721594587|Abdón|Peña|1995-03-09
1721594588|Joaquím|Méndez|1973-06-25
1721594589|Vladimiro|Torres|1991-10-09
1721594590|Erico|López|1996-10-06
1721594591|Rosario|Castro|1977-01-30
1721594592|Dacio|Vargas|1972-03-10
1721594593|Sofía|León|1992-09-13
1721594594|Claudio|Velasco|1979-05-15
1721594595|Claudio|Ramos|1976-06-28
1721594596|Laureano|García|1996-08-11
1721594597|Adrián|Vega|1990-11-04
1721594598|Gabriel|Molina|1995-02-09
1721594599|Ubaldo|Ruiz|1962-05-26
1721594600|Emilio|Garrido|1973-12-17
1721594601|Simón|Ruiz|1975-05-12
1721594602|Dámaso|Díez|1963-03-12
1721594603|Sebastián|Parra|1986-09-25
1721594604|Isaac|Ibáñez|1971-02-09
1721594605|Hildegarda|Muñoz|1999-07-30
1721594606|Rebeca|Díaz|1963-04-20
1721594607|Matilde|Pascual|1993-05-20
1721594608|Lucrecia|Arias|1962-09-15
1721594609|Juvenal|Ortiz|1982-09-21
1721594610|Jonás|Ruiz|1972-02-09
1721594611|Narciso|Medina|1978-11-21
1721594612|Esdras|Núñez|1963-03-13
1721594613|Javier|Ramírez|1968-07-16
1721594614|Lidia|Soto|1983-09-16
1721594615|Hilarión|Moreno|1981-03-05
1721594616|Fernando|Medina|1996-10-13
1721594617|Ifigenia|Mora|1999-12-17
1721594618|Joel|Vicente|1998-03-13
1721594619|Amaro|Medina|1984-07-28
